,date,low,high,open,close,volume
935,2020-02-09 00:00:00,223.16,226.91,223.36,226.75,5492.84712305
936,2020-02-09 01:00:00,225.45,227.01,226.83,226.57,7527.48843854
937,2020-02-09 02:00:00,225.66,227.75,226.57,226.93,5423.36060867
938,2020-02-09 03:00:00,226.82,229.29,226.93,228.75,12358.83666889
939,2020-02-09 04:00:00,227.37,229.16,228.74,227.82,6070.74997668
940,2020-02-09 05:00:00,226.66,228.87,227.78,228.7,3818.97670789
941,2020-02-09 06:00:00,228.21,229.12,228.72,228.67,4104.87199541
942,2020-02-09 07:00:00,228.45,230.9,228.68,229.94,8188.34707391
943,2020-02-09 08:00:00,228.44,230.27,229.94,228.92,4835.63296047
944,2020-02-09 09:00:00,227.53,229.6,228.92,227.91,1936.02487465
945,2020-02-09 10:00:00,227.1,229.31,227.86,229.28,1530.41748888
946,2020-02-09 11:00:00,227.96,229.77,229.27,228.16,2505.08403822
947,2020-02-09 12:00:00,228.17,229.47,228.17,228.82,1750.15645571
948,2020-02-09 13:00:00,227.0,229.19,228.82,227.49,3781.99466953
949,2020-02-09 14:00:00,225.51,228.26,227.48,226.33,2198.82206062
950,2020-02-09 15:00:00,224.25,227.42,226.34,226.83,7138.03024243
951,2020-02-09 16:00:00,226.07,228.1,226.87,227.83,7059.14050922
952,2020-02-09 17:00:00,226.77,228.5,227.82,226.77,3134.76094949
953,2020-02-09 18:00:00,226.0,226.92,226.77,226.04,3068.45949443
954,2020-02-09 19:00:00,226.02,227.4,226.29,226.8,2539.44943396
955,2020-02-09 20:00:00,224.14,226.97,226.8,224.64,4711.24718573
956,2020-02-09 21:00:00,224.62,225.9,224.63,225.5,2270.89922693
957,2020-02-09 22:00:00,225.45,227.98,225.49,227.81,2862.86303846
958,2020-02-09 23:00:00,227.52,229.39,227.86,228.8,6903.08970172
959,2020-02-10 00:00:00,227.57,229.6,228.8,229.13,5342.12838367
960,2020-02-10 01:00:00,227.0,229.14,229.14,227.12,2524.18352642
961,2020-02-10 02:00:00,225.88,227.39,227.13,226.68,4017.72833741
962,2020-02-10 03:00:00,224.6,226.69,226.69,225.31,4215.27503151
963,2020-02-10 04:00:00,222.0,225.7,225.31,224.41,6920.9578675
964,2020-02-10 05:00:00,219.13,225.39,224.36,220.62,6728.16737558
965,2020-02-10 06:00:00,220.13,224.98,220.41,223.34,8160.79842194
966,2020-02-10 07:00:00,223.1,224.63,223.34,223.98,3458.60274752
967,2020-02-10 08:00:00,220.15,224.13,223.99,221.32,3930.03612713
968,2020-02-10 09:00:00,216.31,221.26,221.19,218.79,10344.19046148
969,2020-02-10 10:00:00,217.71,220.19,218.87,219.94,4017.5083419
970,2020-02-10 11:00:00,217.03,220.18,220.01,218.32,3332.18558808
971,2020-02-10 12:00:00,217.01,219.77,218.3,219.65,3733.8138056
972,2020-02-10 13:00:00,219.03,220.42,219.7,219.4,2809.30982653
973,2020-02-10 14:00:00,219.0,223.68,219.41,223.31,5150.99248149
974,2020-02-10 15:00:00,222.87,225.05,223.28,223.48,5950.47413628
975,2020-02-10 16:00:00,221.09,224.28,223.48,221.8,4218.57165819
976,2020-02-10 17:00:00,220.77,223.02,221.76,222.91,2501.40818291
977,2020-02-10 18:00:00,221.02,223.62,222.84,221.54,4798.14270754
978,2020-02-10 19:00:00,220.29,222.42,221.61,220.67,1860.49087346
979,2020-02-10 20:00:00,220.81,222.9,220.82,222.78,1933.82299657
980,2020-02-10 21:00:00,221.16,222.84,222.79,222.49,3180.98860264
981,2020-02-10 22:00:00,221.59,223.55,222.5,223.3,3871.48058016
982,2020-02-10 23:00:00,222.85,224.98,223.31,222.85,3484.13181439
983,2020-02-11 00:00:00,219.29,223.39,222.86,220.18,6498.04784002
984,2020-02-11 01:00:00,218.41,220.95,220.15,220.32,7647.34855298
985,2020-02-11 02:00:00,218.79,220.97,220.29,219.09,5660.56394812
986,2020-02-11 03:00:00,218.25,220.16,219.05,218.74,5479.00304999
987,2020-02-11 04:00:00,217.83,219.63,218.75,218.33,9758.62117097
988,2020-02-11 05:00:00,218.44,220.44,218.44,219.17,2841.17274867
989,2020-02-11 06:00:00,218.67,220.52,219.17,219.7,2429.17621898
990,2020-02-11 07:00:00,218.01,220.11,219.63,218.34,2051.40099061
991,2020-02-11 08:00:00,218.03,220.42,218.35,220.42,2264.34829175
992,2020-02-11 09:00:00,220.04,222.31,220.42,221.09,3568.51150237
993,2020-02-11 10:00:00,220.01,222.13,221.08,221.03,2522.04913489
994,2020-02-11 11:00:00,221.01,222.95,221.02,222.87,4922.64665778
995,2020-02-11 12:00:00,222.27,224.39,222.78,223.48,6703.94233187
996,2020-02-11 13:00:00,223.11,224.68,223.46,223.56,5080.28686187
997,2020-02-11 14:00:00,222.11,224.38,223.56,222.5,3272.99900891
998,2020-02-11 15:00:00,222.53,231.0,222.54,229.71,20739.27390487
999,2020-02-11 16:00:00,228.52,233.86,229.71,232.52,25736.56337507
1000,2020-02-11 17:00:00,232.64,238.89,232.64,236.95,19260.06755415
1001,2020-02-11 18:00:00,236.2,239.92,236.96,237.82,10373.88584721
1002,2020-02-11 19:00:00,237.0,239.47,237.72,239.21,5774.39881823
1003,2020-02-11 20:00:00,237.8,239.71,239.22,238.84,7370.55681273
1004,2020-02-11 21:00:00,236.84,239.54,238.88,237.4,4302.68985668
1005,2020-02-11 22:00:00,237.24,239.35,237.48,237.91,5763.15126768
1006,2020-02-11 23:00:00,236.51,238.46,237.91,237.98,4424.15153948
1007,2020-02-12 00:00:00,237.95,249.0,237.99,248.27,25960.10079205
1008,2020-02-12 01:00:00,244.76,248.24,248.24,245.97,14347.53143902
1009,2020-02-12 02:00:00,243.0,247.0,245.96,245.39,9864.84509819
1010,2020-02-12 03:00:00,244.22,246.29,245.24,245.16,6231.40896144
1011,2020-02-12 04:00:00,245.16,247.45,245.17,245.91,6489.21356801
1012,2020-02-12 05:00:00,245.58,247.93,245.94,247.7,4898.73398234
1013,2020-02-12 06:00:00,246.1,249.28,247.7,249.28,4888.85582443
1014,2020-02-12 07:00:00,248.42,257.57,249.27,254.34,14589.8219182
1015,2020-02-12 08:00:00,250.87,254.65,254.14,252.82,6943.7776793
1016,2020-02-12 09:00:00,249.67,253.53,253.0,253.45,3515.53639967
1017,2020-02-12 10:00:00,251.43,256.46,253.32,254.88,6991.86577235
1018,2020-02-12 11:00:00,254.27,258.77,254.89,256.49,7451.20587122
1019,2020-02-12 12:00:00,254.07,256.67,256.41,256.1,6943.44998836
1020,2020-02-12 13:00:00,255.76,257.5,256.1,256.96,6304.45525361
1021,2020-02-12 14:00:00,253.01,258.75,256.96,256.84,16597.40436763
1022,2020-02-12 15:00:00,252.22,256.78,256.73,255.02,13076.2744411
1023,2020-02-12 16:00:00,254.15,264.58,255.02,262.76,17614.04058891
1024,2020-02-12 17:00:00,262.1,267.99,262.64,265.18,22836.9135878
1025,2020-02-12 18:00:00,264.11,267.0,265.18,266.73,10563.78744432
1026,2020-02-12 19:00:00,264.15,267.0,266.74,265.8,10864.9075845
1027,2020-02-12 20:00:00,265.27,274.88,265.88,274.35,19020.1351352
1028,2020-02-12 21:00:00,262.81,276.15,274.06,270.34,29821.52035451
1029,2020-02-12 22:00:00,265.93,272.26,270.33,268.33,13227.38995696
1030,2020-02-12 23:00:00,262.78,270.43,268.53,266.49,14953.17359719
1031,2020-02-13 00:00:00,265.4,273.5,266.63,272.7,15226.2530239
1032,2020-02-13 01:00:00,270.09,275.0,272.7,274.57,14724.37923203
1033,2020-02-13 02:00:00,271.0,275.0,274.57,273.01,11604.49532104
1034,2020-02-13 03:00:00,268.19,273.9,273.03,269.59,11221.13299181
1035,2020-02-13 04:00:00,269.51,272.19,269.68,270.09,4792.39186437
1036,2020-02-13 05:00:00,270.01,272.81,270.09,272.81,3938.72976931
1037,2020-02-13 06:00:00,271.73,274.34,272.7,273.34,8228.1046208
1038,2020-02-13 07:00:00,265.73,273.56,273.36,266.89,12861.57463316
1039,2020-02-13 08:00:00,253.75,269.55,266.92,262.05,27450.30114802
1040,2020-02-13 09:00:00,257.04,262.2,262.07,261.16,9205.42028452
1041,2020-02-13 10:00:00,258.57,264.6,261.16,262.73,5547.90751978
1042,2020-02-13 11:00:00,259.0,263.5,262.72,262.46,5670.01526013
1043,2020-02-13 12:00:00,261.19,270.45,262.68,268.04,11004.15910054
1044,2020-02-13 13:00:00,268.04,278.01,268.04,268.75,26296.72952754
1045,2020-02-13 14:00:00,262.5,273.96,268.75,270.0,25124.41945143
1046,2020-02-13 15:00:00,266.5,273.17,269.96,270.76,13616.61464643
1047,2020-02-13 16:00:00,266.03,273.02,270.81,266.5,12556.25425761
1048,2020-02-13 17:00:00,263.84,269.3,266.48,267.26,10162.08544141
1049,2020-02-13 18:00:00,266.56,269.0,267.05,267.05,3309.91394095
1050,2020-02-13 19:00:00,266.39,270.0,267.04,269.04,5183.63711844
1051,2020-02-13 20:00:00,265.56,269.29,268.94,266.13,5454.06000707
1052,2020-02-13 21:00:00,262.34,266.13,265.87,262.7,9349.75956047
1053,2020-02-13 22:00:00,262.26,267.0,262.69,266.15,4555.35928726
1054,2020-02-13 23:00:00,264.99,269.11,266.0,268.42,7113.5493544
1055,2020-02-14 00:00:00,264.01,269.5,268.37,268.23,6671.47887698
1056,2020-02-14 01:00:00,266.78,270.72,268.2,267.47,11394.68913772
1057,2020-02-14 02:00:00,267.36,268.83,267.47,268.12,2908.67264836
1058,2020-02-14 03:00:00,265.51,268.32,268.12,266.71,6928.96846631
1059,2020-02-14 04:00:00,264.62,268.55,266.7,266.78,6703.97485254
1060,2020-02-14 05:00:00,263.74,267.37,266.78,264.02,5294.21820935
1061,2020-02-14 06:00:00,262.5,264.95,264.39,264.31,8378.90370896
1062,2020-02-14 07:00:00,260.13,265.2,264.32,262.49,5304.67787788
1063,2020-02-14 08:00:00,262.21,266.43,262.55,265.46,3771.66308224
1064,2020-02-14 09:00:00,265.11,268.34,265.41,267.8,3152.85310243
1065,2020-02-14 10:00:00,266.66,272.47,267.98,269.93,6258.69276546
1066,2020-02-14 11:00:00,267.41,271.57,269.91,270.86,4038.21133309
1067,2020-02-14 12:00:00,268.73,272.5,270.9,270.42,5100.69092051
